company,title,title_en,job_category,seniority,remote_type,locations,years_experience_required,salary_hkd_min,salary_hkd_max,salary_estimated_min,salary_estimated_max,salary_estimated_confidence,required_skills,description_summary,source,source_tier,cross_posted,posted_at,apply_url,is_active
AXA Hong Kong,"Senior Consultant – Operations, Insurance Transformation ( MJ007207)","Senior Consultant – Operations, Insurance Transformation",Operations,senior,on-site,"Wong Chuk Hang, Southern District",,,,40000,50000,medium,Insurance Operations; Process Optimization; Digital Transformation; Data Analytics; AI Solutions; Stakeholder Management; Project Management; Operational Excellence; Underwriting; Claims Management,"Senior Consultant in insurance transformation, focusing on operations. Collaborates with clients to define operational efficiency strategies and drive process improvements across life, health, and P&C insurance operations. Supports large-scale transformation programmes leveraging digital, data, and AI solutions.",jobsdb,mainstream,0,2026-07-17T18:57:40.882988+00:00,https://hk.jobsdb.com/job/91066009,1
AXA Hong Kong,"Senior Designer/ Designer, Digital Marketing","Senior Designer/ Designer, Digital Marketing",Other,senior,on-site,Hong Kong,,,,38000,42000,low,Adobe Creative Suite; Graphic Design; UI/UX Design; Digital Marketing,,indeed,mainstream,1,2026-07-16T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=6ce40a6fa335b1de,1
AXA Hong Kong,"Senior Designer/ Designer, Digital Marketing","Senior Designer/ Designer, Digital Marketing",Other,senior,on-site,Hong Kong,,,,28000,42000,low,Digital Marketing; Graphic Design; Adobe Creative Suite; Content Creation,,indeed,mainstream,1,2026-07-15T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=6ce40a6fa335b1de,1
AXA Hong Kong,"Senior Officer / Officer, General Accounting (2-year contract)","Senior Officer / Officer, General Accounting (2-year contract)",Finance,mid,on-site,Hong Kong,,,,18000,27000,medium,,"This is a 2-year contract role for a Senior Officer or Officer in the General Accounting team at AXA Hong Kong, an insurance company.",indeed,mainstream,1,2026-07-14T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=9ad23ef33d96a349,1
AXA Hong Kong,"Senior Officer / Officer, General Accounting (2-year contract)","Senior Officer / Officer, General Accounting (2-year contract)",Finance,mid,on-site,Hong Kong,,,,37000,70000,medium,Accounting; Financial Reporting; General Ledger; Microsoft Excel,,indeed,mainstream,1,2026-05-28T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=9ad23ef33d96a349,1
AXA Hong Kong,"Senior Officer/Officer, Distribution Communications & Promotions","Senior Officer/Officer, Distribution Communications & Promotions",Other,mid,on-site,Hong Kong,,,,33500,58500,medium,Marketing Communications; Promotions Management; Distribution Channel Management; Insurance Product Knowledge; Event Coordination,,indeed,mainstream,1,2026-07-22T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=9502f702899267ac,1
AXA Hong Kong,Senior Sales Support Analyst,Senior Sales Support Analyst,Other,senior,on-site,Hong Kong,,,,59000,80000,medium,Sales Support; Data Analysis; CRM Systems; Reporting; Microsoft Excel,,indeed,mainstream,1,2026-04-24T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=a3cb330c7012de0d,1
AXA Hong Kong,"Senior Underwriting Analyst, Employee Benefits","Senior Underwriting Analyst, Employee Benefits",Finance,senior,on-site,Hong Kong,,,,25000,35000,medium,Underwriting; Employee Benefits; Risk Assessment; Data Analysis; Insurance Products Knowledge; Financial Analysis; Policy Administration,Senior Underwriting Analyst role in Employee Benefits at AXA Hong Kong. Responsibilities include underwriting analysis and risk assessment for employee benefit insurance products.,indeed,mainstream,1,2026-07-08T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=33696e1600954a46,1
AXA Hong Kong,"Talent Acquisition Officer / Senior Officer, Human Resources (1-Year-Contract)","Talent Acquisition Officer / Senior Officer, Human Resources (1-Year-Contract)",HR,mid,on-site,Hong Kong,,,,19000,22000,medium,Talent Acquisition; Recruitment; Interviewing; HRIS; Stakeholder Management,,indeed,mainstream,1,2026-07-23T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=5590503830ff7171,1
AXA Hong Kong,Underwriting Officer (Employee Benefits),Underwriting Officer (Employee Benefits),Insurance,junior,on-site,Hong Kong,,,,23000,30000,medium,underwriting; employee benefits; risk assessment; insurance products; Microsoft Excel; analytical skills; attention to detail; client communication,Underwriting Officer responsible for employee benefits underwriting at AXA Hong Kong.,indeed,mainstream,1,2026-07-08T05:00:00+00:00,https://hk.indeed.com/viewjob?jk=b928eebffc24d3ca,1
AXA Hong Kong and Macau,(Assistant) Business Analyst (1-year contract),(Assistant) Business Analyst (1-year contract),Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,18000,35000,low,,"1-year contract position for an (Assistant) Business Analyst at AXA Hong Kong and Macau, an insurance company.",jobsdb,mainstream,0,2026-07-13T18:55:24.492616+00:00,https://hk.jobsdb.com/job/93291990,1
AXA Hong Kong and Macau,(Senior) Actuarial Analyst (IFRS17 Reporting),(Senior) Actuarial Analyst (IFRS17 Reporting),Finance,senior,on-site,"Wong Chuk Hang, Southern District",,,,20000,37000,medium,IFRS17; Actuarial Reporting; Financial Analysis; Insurance Accounting; Regulatory Compliance; Data Analysis; Microsoft Excel,Actuarial analyst role focused on IFRS17 reporting for a leading insurer in Hong Kong.,jobsdb,mainstream,0,2026-07-06T18:57:08.134353+00:00,https://hk.jobsdb.com/job/93134071,1
AXA Hong Kong and Macau,"Accountant / Senior Accountant, Investment Accounting (2-year contract)","Accountant / Senior Accountant, Investment Accounting (2-year contract)",Finance,mid,on-site,"Wong Chuk Hang, Southern District",,,,30000,34000,low,,Contract role for Accountant or Senior Accountant in Investment Accounting at AXA Hong Kong and Macau. The posting describes the company's background but does not specify job duties.,jobsdb,mainstream,1,2026-07-06T18:57:08.134337+00:00,https://hk.indeed.com/viewjob?jk=6addf2438996e5fd,1
AXA Hong Kong and Macau,"Accountant / Senior Accountant, Investment Accounting (2-year contract)","Accountant / Senior Accountant, Investment Accounting (2-year contract)",Finance,senior,on-site,"Wong Chuk Hang, Southern District",,,,30000,55000,medium,Investment accounting; Financial reporting; General ledger; Month-end closing; Reconciliation; IFRS; Financial analysis,This is a 2-year contract role for an Accountant or Senior Accountant specializing in Investment Accounting at AXA Hong Kong and Macau. The position involves managing investment accounting tasks within a leading global insurer.,jobsdb,mainstream,1,2026-07-16T18:57:08.134169+00:00,https://hk.indeed.com/viewjob?jk=6addf2438996e5fd,1
AXA Hong Kong and Macau,"Accountant / Senior Accountant, Investment Accounting (2-year contract)","Accountant / Senior Accountant, Investment Accounting (2-year contract)",Finance,mid,on-site,"Wong Chuk Hang, Southern District",,,,31000,59000,medium,,AXA Hong Kong and Macau seeks an Accountant or Senior Accountant for a 2-year contract role in investment accounting.,jobsdb,mainstream,1,2026-07-20T18:55:44.247105+00:00,https://hk.indeed.com/viewjob?jk=6addf2438996e5fd,1
AXA Hong Kong and Macau,Actuarial Intern,Actuarial Intern,Finance,junior,on-site,"Wong Chuk Hang, Southern District",0,,,4000,8000,medium,,,jobsdb,mainstream,1,2026-07-06T18:57:08.134281+00:00,https://hk.indeed.com/viewjob?jk=d176166d680875e4,1
AXA Hong Kong and Macau,"Actuarial Intern (Life & Health Pricing) (2027 January to June, Full Time)","Actuarial Intern (Life & Health Pricing) (2027 January to June, Full Time)",Finance,junior,on-site,"Wong Chuk Hang, Southern District",,,,4000,10000,medium,profit testing; scenario testing; cash flow analysis; IRR calculation; policy documentation review; experience studies; BRS preparation; Prophet software; Microsoft Excel; Visual Basic for Applications,"Support product pricing team using profit testing, scenario testing, and cash flow analysis. Assist with policy documentation review, experience studies, and BRS preparation for system implementation. Gain exposure to Prophet modelling and business cashflow projection.",jobsdb,mainstream,0,2026-07-03T18:57:08.134359+00:00,https://hk.jobsdb.com/job/92583966,1
AXA Hong Kong and Macau,Administrator (11-month Contract),Administrator (11-month Contract),Other,junior,on-site,"Wong Chuk Hang, Southern District",,,,17500,19000,medium,"Data cleansing; Administrative support; MS Office (Word, Excel); Teamwork; Communication; Interpersonal skills; Independent work; Life insurance knowledge","This role involves assisting with data cleansing, administrative duties, and clerical tasks. The ideal candidate is proficient in MS Office, a good team player, and preferably has life insurance experience.",jobsdb,mainstream,0,2026-07-23T18:55:10.088910+00:00,https://hk.jobsdb.com/job/93512971,1
AXA Hong Kong and Macau,Administrator (4-month contract),Administrator (4-month contract),Operations,junior,on-site,"Causeway Bay, Wan Chai District",1,,,16000,18000,medium,Microsoft Outlook; MS Office Suite; Data Entry; Filing; Scanning; Calendar Management; Travel Coordination; Expense Reporting; Office Supplies Management; Communication Skills,"This is a 4-month contract administrator role at AXA in Hong Kong. Duties include reception, clerical tasks, office supplies, calendar management, and meeting support. Requires 1-3 years of administrative experience and proficiency in MS Office.",jobsdb,mainstream,0,2026-07-06T18:55:10.089248+00:00,https://hk.jobsdb.com/job/93147403,1
AXA Hong Kong and Macau,"Assistant Accountant, Finance Operations (Payment team)","Assistant Accountant, Finance Operations (Payment team)",Finance,junior,on-site,"Wong Chuk Hang, Southern District",,,,16500,20000,medium,,Assistant Accountant position in AXA Hong Kong and Macau's Finance Operations Payment team. The posting focuses on company overview and does not list specific job duties.,jobsdb,mainstream,1,2026-07-22T18:55:10.089361+00:00,https://hk.indeed.com/viewjob?jk=900f8195a03eb45e,1
AXA Hong Kong and Macau,Assistant Actuarial Manager (GI Pricing),Assistant Actuarial Manager (GI Pricing),Finance,mid,on-site,"Wong Chuk Hang, Southern District",,,,30000,45000,medium,,The role is an Assistant Actuarial Manager focusing on general insurance pricing at AXA Hong Kong and Macau.,jobsdb,mainstream,1,2026-06-30T18:57:08.134322+00:00,https://hk.indeed.com/viewjob?jk=5501009c8d0eb50e,1
AXA Hong Kong and Macau,Assistant Actuarial Manager (GI Pricing),Assistant Actuarial Manager (GI Pricing),Finance,mid,on-site,"Wong Chuk Hang, Southern District",,,,30000,40000,medium,Actuarial Pricing; General Insurance; Data Analysis; Excel; Statistical Modeling; Product Development; Risk Assessment,"Assistant Actuarial Manager (GI Pricing) role at AXA Hong Kong and Macau, a leading global insurer. The position involves pricing for general insurance products. The company focuses on innovation, digital transformation, and sustainability.",jobsdb,mainstream,1,2026-07-17T18:57:08.134252+00:00,https://hk.indeed.com/viewjob?jk=5501009c8d0eb50e,1
AXA Hong Kong and Macau,Assistant Business Development Manager (Agency Force),Assistant Business Development Manager (Agency Force),Sales,mid,on-site,"Tsim Sha Tsui, Yau Tsim Mong District",,,,30000,43000,medium,Agency Management; Business Development; Relationship Management; Insurance Distribution; Digital Transformation; Customer Experience; Product Innovation,"The role is for an Assistant Business Development Manager at AXA Hong Kong and Macau, focusing on the agency force distribution channel. Responsibilities include business development and supporting agency growth within the insurance sector.",jobsdb,mainstream,0,2026-07-13T18:55:44.247003+00:00,https://hk.jobsdb.com/job/93287420,1
AXA Hong Kong and Macau,Assistant Business Development Manager (Broker Channel),Assistant Business Development Manager (Broker Channel),Sales,mid,on-site,"Causeway Bay, Wan Chai District",,,,35000,50000,medium,,,jobsdb,mainstream,0,2026-07-10T18:55:44.247131+00:00,https://hk.jobsdb.com/job/93254905,1
AXA Hong Kong and Macau,Assistant Claims Officer (11-month Contract),Assistant Claims Officer (11-month Contract),Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,22000,28000,medium,Claims processing; Data entry; Correspondence handling; Claims assessment; AS400/G400 system; Cantonese; English; Chinese; PC skills; Attention to detail,"Provide administrative and clerical support for claims operations, including data entry, filing, correspondence handling, and claims assessment. Requires diploma level, knowledge of AS400/G400, and fluency in Cantonese and English. Fresh graduates welcome.",jobsdb,mainstream,0,2026-07-23T18:55:10.088921+00:00,https://hk.jobsdb.com/job/93509970,1
AXA Hong Kong and Macau,Assistant Claims Officer (EB - Inpatient),Assistant Claims Officer (EB - Inpatient),Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,24000,30000,medium,claims processing; medical claims; employee benefits; inpatient claims; insurance policy interpretation; customer service; data entry; Microsoft Excel; attention to detail,Processes inpatient claims for employee benefits. Provides customer service and ensures accurate claims assessment within the insurance operations team.,jobsdb,mainstream,0,2026-07-22T18:55:10.089369+00:00,https://hk.jobsdb.com/job/93479602,1
AXA Hong Kong and Macau,Assistant Digital Business Manager,Assistant Digital Business Manager,Operations,mid,on-site,"Wong Chuk Hang, Southern District",,,,40000,55000,medium,,,jobsdb,mainstream,1,2026-07-07T18:55:44.247160+00:00,https://hk.indeed.com/viewjob?jk=d4a80653b505cc49,1
AXA Hong Kong and Macau,Assistant Distribution Training Manager,Assistant Distribution Training Manager,Insurance,mid,on-site,"Kwun Tong, Kwun Tong District",,,,37000,42000,medium,,"Assistant Distribution Training Manager at AXA Hong Kong and Macau, responsible for training distribution channels.",jobsdb,mainstream,0,2026-07-17T18:55:44.247083+00:00,https://hk.jobsdb.com/job/93400049,1
AXA Hong Kong and Macau,Assistant Distribution Training Manager (Leadership),Assistant Distribution Training Manager (Leadership),Finance,mid,on-site,"Kwun Tong, Kwun Tong District",,,,37500,50000,medium,,,jobsdb,mainstream,1,2026-07-24T18:55:10.089085+00:00,https://hk.indeed.com/viewjob?jk=0f227ead4787395b,1
AXA Hong Kong and Macau,"Assistant HRIS Manager, Human Resources","Assistant HRIS Manager, Human Resources",HR,mid,on-site,"Wong Chuk Hang, Southern District",,,,35000,45000,medium,,,jobsdb,mainstream,1,2026-07-16T18:55:24.492607+00:00,https://hk.indeed.com/viewjob?jk=357689a302df9f68,1
AXA Hong Kong and Macau,"Assistant Manager, Customer Analytics And Insights","Assistant Manager, Customer Analytics And Insights",Other,mid,on-site,"Wong Chuk Hang, Southern District",,,,33000,40000,low,,,jobsdb,mainstream,1,2026-06-29T18:55:24.492918+00:00,https://hk.indeed.com/viewjob?jk=d174c9b50f970654,1
AXA Hong Kong and Macau,"Assistant Manager/Senior Officer, Marketing (HNW)[Event Management]","Assistant Manager/Senior Officer, Marketing (HNW)[Event Management]",Other,mid,on-site,"Wong Chuk Hang, Southern District",,,,33000,58000,medium,,"This role involves event management and marketing for the high net worth (HNW) segment at AXA Hong Kong and Macau, a global insurer.",jobsdb,mainstream,0,2026-06-29T18:55:24.492748+00:00,https://hk.jobsdb.com/job/92993072,1
AXA Hong Kong and Macau,"Assistant Manager/Senior Officer, Promotion & Communication","Assistant Manager/Senior Officer, Promotion & Communication",Other,mid,on-site,"Quarry Bay, Eastern District",,,,33000,45000,medium,,The role focuses on promotion and communication tasks within AXA Hong Kong and Macau.,jobsdb,mainstream,1,2026-06-29T18:55:24.492887+00:00,https://hk.indeed.com/viewjob?jk=a5c486ee20e52fbc,1
AXA Hong Kong and Macau,"Assistant Manager/Senior Officer, Promotion & Communication","Assistant Manager/Senior Officer, Promotion & Communication",Other,mid,on-site,"Quarry Bay, Eastern District",,,,33000,58000,medium,Product Innovation; Customer Experience; Digital Transformation; Sustainability Strategy; Climate Strategy; TCFD Reporting; Diversity & Inclusion; Mental Health Products,"This role at AXA Hong Kong and Macau is for an Assistant Manager or Senior Officer in Promotion & Communication, supporting marketing and communications within a leading global insurance company.",jobsdb,mainstream,1,2026-07-06T18:55:24.492911+00:00,https://hk.indeed.com/viewjob?jk=a5c486ee20e52fbc,1
AXA Hong Kong and Macau,"Assistant Manager/Senior Officer, Promotion & Communication [Marketing]","Assistant Manager/Senior Officer, Promotion & Communication [Marketing]",Other,mid,on-site,"Wong Chuk Hang, Southern District",,,,25000,35000,medium,Marketing Communications; Promotional Campaigns; Event Coordination; Stakeholder Management; Project Management; Digital Marketing; Brand Management; Customer Experience,"The role is for an Assistant Manager/Senior Officer in Promotion & Communication marketing at AXA Hong Kong and Macau, a leading global insurer offering integrated insurance solutions and emphasizing sustainability, innovation, and customer experience.",jobsdb,mainstream,1,2026-07-20T18:55:10.089272+00:00,https://hk.indeed.com/viewjob?jk=a5c486ee20e52fbc,1
AXA Hong Kong and Macau,"Assistant Officer, Compensation","Assistant Officer, Compensation",HR,junior,on-site,"Wong Chuk Hang, Southern District",,,,18000,22000,medium,,,jobsdb,mainstream,1,2026-06-29T18:57:08.134309+00:00,https://hk.indeed.com/viewjob?jk=84ac954c3e769a8a,1
AXA Hong Kong and Macau,"Assistant Officer, Compensation","Assistant Officer, Compensation",HR,junior,on-site,"Wong Chuk Hang, Southern District",,,,20000,29000,medium,,,jobsdb,mainstream,1,2026-07-20T18:55:24.492691+00:00,https://hk.indeed.com/viewjob?jk=84ac954c3e769a8a,1
AXA Hong Kong and Macau,"Assistant Officer/Officer, Procurement","Assistant Officer/Officer, Procurement",Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,23000,30000,medium,,,jobsdb,mainstream,1,2026-07-08T18:55:44.247062+00:00,https://hk.indeed.com/viewjob?jk=60a2dbd86045398a,1
AXA Hong Kong and Macau,"Assistant Officer/Officer, Procurement","Assistant Officer/Officer, Procurement",Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,15000,18500,medium,,"The job is for an Assistant Officer/Officer in Procurement at AXA Hong Kong and Macau. The description outlines AXA's role as a global insurer and its focus on innovation, sustainability, and diversity.",jobsdb,mainstream,1,2026-07-13T18:55:24.492902+00:00,https://hk.indeed.com/viewjob?jk=60a2dbd86045398a,1
AXA Hong Kong and Macau,"Assistant Officer/Officer, Procurement","Assistant Officer/Officer, Procurement",Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,23000,30000,medium,Procurement; Vendor Management; Sourcing; Contract Management; Negotiation; Supplier Relationship Management; Risk Assessment; Compliance,"Procurement assistant/officer position at AXA Hong Kong and Macau. The company is a leading global insurer offering integrated insurance solutions and focused on innovation, sustainability, and inclusion.",jobsdb,mainstream,1,2026-07-20T18:55:24.492628+00:00,https://hk.indeed.com/viewjob?jk=60a2dbd86045398a,1
AXA Hong Kong and Macau,Assistant Policy Servicing Officer (3-month contract),Assistant Policy Servicing Officer (3-month contract),Operations,junior,on-site,"Wong Chuk Hang, Southern District",0,,,17500,19550,medium,"Employee benefits administration; Policy document preparation; Bills preparation; Report follow up; User acceptance testing (UAT); MS Office (Word, Excel); Administrative support; Interpersonal skills; Customer service; Organizational skills","Handles employee benefits policy system setups, document preparation, and billing. Ensures service turnaround targets and provides administrative support. Assists with project UAT and coordinates with intermediaries and internal departments.",jobsdb,mainstream,0,2026-07-22T18:55:10.088949+00:00,https://hk.jobsdb.com/job/93493738,1
AXA Hong Kong and Macau,Assistant Project Manager,Assistant Project Manager,Operations,mid,on-site,"Wong Chuk Hang, Southern District",,,,25000,35000,low,,,jobsdb,mainstream,0,2026-07-17T18:55:24.492641+00:00,https://hk.jobsdb.com/job/93386505,1
AXA Hong Kong and Macau,Assistant Project Manager (COO),Assistant Project Manager (COO),Operations,mid,on-site,Central and Western District,,,,25000,35000,medium,,"Assistant Project Manager role in the COO office at AXA Hong Kong and Macau, a leading global insurer offering Life, Health, and General Insurance solutions. The company emphasizes digital transformation, customer experience, and sustainability.",jobsdb,mainstream,0,2026-07-09T18:55:44.247047+00:00,https://hk.jobsdb.com/job/93212704,1
AXA Hong Kong and Macau,Associate Data & API Platform Lead,,,lead,onsite,"Wong Chuk Hang, Southern District",,,,,,,,,jobsdb,mainstream,0,2026-07-22T18:55:24.492634+00:00,https://hk.jobsdb.com/job/93480168,1
AXA Hong Kong and Macau,Associate IT Transformation & Core Systems Lead,Associate IT Transformation & Core Systems Lead,Operations,mid,on-site,"Wong Chuk Hang, Southern District",,,,45000,55000,medium,,,jobsdb,mainstream,1,2026-07-16T18:55:44.247180+00:00,https://hk.indeed.com/viewjob?jk=7169058d3219f450,1
AXA Hong Kong and Macau,Broker Service Officer,Broker Service Officer,Operations,junior,on-site,"Causeway Bay, Wan Chai District",,,,20000,30000,medium,,,jobsdb,mainstream,1,2026-07-10T18:55:24.492664+00:00,https://hk.indeed.com/viewjob?jk=aef01b9256b79ec0,1
AXA Hong Kong and Macau,Business Analyst (Incident Management),Business Analyst (Incident Management),Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,25000,35000,low,Incident Management; Business Analysis,,jobsdb,mainstream,1,2026-07-22T18:55:10.089133+00:00,https://hk.indeed.com/viewjob?jk=08f3774c1b3a546c,1
AXA Hong Kong and Macau,Claims Officer - EB Claims (Inpatient),Claims Officer - EB Claims (Inpatient),Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,22000,37000,medium,,,jobsdb,mainstream,0,2026-07-22T18:55:10.089333+00:00,https://hk.jobsdb.com/job/93479959,1
AXA Hong Kong and Macau,Customer Care Associate,Customer Care Associate,Operations,junior,on-site,"Wong Chuk Hang, Southern District",,,,20000,30000,low,,Customer Care Associate role at AXA Hong Kong and Macau. The description provides company background but no specific job responsibilities or requirements.,jobsdb,mainstream,1,2026-07-08T18:55:24.492600+00:00,https://hk.indeed.com/viewjob?jk=3fa81202bff9dc1d,1
AXA Hong Kong and Macau,Distributor Service Officer,Distributor Service Officer,Sales,junior,on-site,"Wong Chuk Hang, Southern District",,,,20000,25000,low,,,jobsdb,mainstream,1,2026-07-08T18:55:24.492895+00:00,https://hk.indeed.com/viewjob?jk=97a8dfef6636b3de,1
AXA Hong Kong and Macau,Head of Care Transformation and Utilization Strategy,Head of Care Transformation and Utilization Strategy,Other,lead,on-site,"Wong Chuk Hang, Southern District",,,,120000,140000,low,,,jobsdb,mainstream,0,2026-06-30T18:55:44.247138+00:00,https://hk.jobsdb.com/job/93024244,1
AXA Hong Kong and Macau,"Manager, Customer Excellence & Insights (3-year contract)","Manager, Customer Excellence & Insights (3-year contract)",Other,mid,on-site,"Wong Chuk Hang, Southern District",,,,27000,49500,medium,Customer Experience (CX) Management; Voice of Customer (VoC); Data Analysis; Digital Transformation; Project Management; Stakeholder Management; Survey Design; Strategic Insights,"AXA Hong Kong and Macau is hiring a Manager, Customer Excellence & Insights on a 3-year contract. The role involves driving customer experience enrichment and deriving insights to support product and service innovation through digital transformation.",jobsdb,mainstream,1,2026-07-07T18:55:44.247076+00:00,https://hk.indeed.com/viewjob?jk=825a6f4f26c1c3d5,1
AXA Hong Kong and Macau,"Manager, Customer Excellence & Insights (3-year contract)","Manager, Customer Excellence & Insights (3-year contract)",Operations,mid,on-site,"Wong Chuk Hang, Southern District",,,,26000,47000,medium,Customer Experience Management; Customer Insights; Data Analysis; Market Research; Digital Transformation; Project Management; Stakeholder Management,"The role involves managing customer excellence and insights, focusing on customer experience enrichment through data analysis and digital transformation, within a major insurance company.",jobsdb,mainstream,1,2026-07-13T18:55:24.492936+00:00,https://hk.indeed.com/viewjob?jk=825a6f4f26c1c3d5,1
AXA Hong Kong and Macau,"Manager, Customer Excellence & Insights (3-year contract)","Manager, Customer Excellence & Insights (3-year contract)",Operations,mid,on-site,"Wong Chuk Hang, Southern District",,,,24000,44000,medium,Customer Experience Management; Data Analysis; Market Research; Digital Transformation; Innovation Management; Stakeholder Engagement; Project Management,"This role is a 3-year contract position at AXA Hong Kong and Macau, focusing on customer excellence and insights to enhance customer experience and drive digital transformation.",jobsdb,mainstream,1,2026-07-20T18:55:24.492652+00:00,https://hk.indeed.com/viewjob?jk=825a6f4f26c1c3d5,1
AXA Hong Kong and Macau,"Manager, Inforce Data and analytics (3 Year Direct Contract)","Manager, Inforce Data and analytics (3 Year Direct Contract)",Other,mid,on-site,"Wong Chuk Hang, Southern District",,,,34000,45000,medium,,"Manager role in Inforce Data and Analytics at AXA Hong Kong and Macau under a 3-year direct contract. The company is a major insurer offering life, health, and general insurance.",jobsdb,mainstream,1,2026-06-30T18:57:08.134316+00:00,https://hk.indeed.com/viewjob?jk=249c40881f510095,1
AXA Hong Kong and Macau,"Manager/Assistant Manager, Customer Analytics and Insights (3-year contract)","Manager/Assistant Manager, Customer Analytics and Insights (3-year contract)",Other,mid,on-site,"Wong Chuk Hang, Southern District",,,,28000,49000,medium,customer analytics; data analysis; customer insights; analytical reporting; segmentation; data mining; statistical analysis,AXA Hong Kong and Macau is looking for a Manager/Assistant Manager for Customer Analytics and Insights on a 3-year contract. The company is a leading global insurer focused on customer experience and digital transformation.,jobsdb,mainstream,1,2026-07-16T18:55:24.492686+00:00,https://hk.indeed.com/viewjob?jk=d0952d8cd078be0a,1
AXA Hong Kong and Macau,Network Provider Management Manager (1-year contract),Network Provider Management Manager (1-year contract),Other,mid,on-site,"Wong Chuk Hang, Southern District",,,,36000,52800,medium,Health insurance; General insurance; Employee benefits; Provider network management; Contract management; Stakeholder management; Digital transformation; Customer experience; Sustainability,"AXA Hong Kong and Macau seeks a Network Provider Management Manager on a 1-year contract to manage relationships with healthcare providers, supporting health and employee benefits business, and contributing to digital transformation and customer experience.",jobsdb,mainstream,0,2026-07-13T18:55:44.247187+00:00,https://hk.jobsdb.com/job/93281328,1
AXA Hong Kong and Macau,"Officer, Partnership & Direct Retail Business","Officer, Partnership & Direct Retail Business",Sales,junior,on-site,"Wong Chuk Hang, Southern District",,,,19000,25000,medium,partnership management; direct retail sales; life insurance; health insurance; general insurance; product innovation; digital transformation,Officer responsible for partnership management and direct retail business at AXA Hong Kong and Macau. The role supports product innovation and customer experience enrichment within the insurance group.,jobsdb,mainstream,0,2026-06-30T18:55:24.492874+00:00,https://hk.jobsdb.com/job/93032731,1
AXA Hong Kong and Macau,"Officer, Talent Hub and Agency Marketing","Officer, Talent Hub and Agency Marketing",Other,junior,on-site,"Kwun Tong, Kwun Tong District",,,,22000,30000,medium,,,jobsdb,mainstream,1,2026-07-17T18:55:10.089141+00:00,https://hk.indeed.com/viewjob?jk=c131fb493ac3be24,1
AXA Hong Kong and Macau,Part-time Clerk (6-month Contract),Part-time Clerk (6-month Contract),Other,junior,on-site,"Wong Chuk Hang, Southern District",,,,8000,12000,low,"Document Handling; Records Management; Mailing; Administrative Support; Microsoft Office (Word, Excel); Organizational Skills; Multitasking; Communication Skills; Interpersonal Skills; Attention to Detail","Part-time clerical role involving document handling, mailing preparation, records management, and administrative support. Requires high school diploma, MS Office proficiency, and organizational skills.",jobsdb,mainstream,0,2026-07-22T18:55:10.088939+00:00,https://hk.jobsdb.com/job/93493432,1
AXA Hong Kong and Macau,Policy Administration Manager (Life Insurance),Policy Administration Manager (Life Insurance),Operations,mid,on-site,"Wong Chuk Hang, Southern District",,,,30000,45000,medium,,"The role is a Policy Administration Manager position at AXA Hong Kong and Macau, a major insurer. The description emphasises the company's commitment to innovation, sustainability, and diversity.",jobsdb,mainstream,1,2026-07-17T18:57:08.134287+00:00,https://hk.indeed.com/viewjob?jk=0303d0b2055ce95e,1
AXA Hong Kong and Macau,Procurement Manager,Procurement Manager,Operations,mid,on-site,"Wong Chuk Hang, Southern District",,,,45000,66000,low,,"This posting is for a Procurement Manager at AXA Hong Kong and Macau. The description focuses on the company's global presence, product offerings, and commitment to sustainability and inclusion, but does not provide specific responsibilities or requirements for the role.",jobsdb,mainstream,1,2026-07-08T18:55:44.247010+00:00,https://hk.indeed.com/viewjob?jk=ae2d9835fc83ab8f,1
AXA Hong Kong and Macau,Product Innovation & Growth Marketing Manager,Product Innovation & Growth Marketing Manager,Other,mid,on-site,"Wong Chuk Hang, Southern District",,,,35000,45000,medium,Product Innovation; Growth Marketing; Customer Experience Management; Digital Transformation; Market Research; Strategic Planning; Cross-functional Collaboration; Data Analysis,"The role focuses on product innovation and growth marketing for a major insurer, enhancing customer experience and leveraging digital transformation. It involves listening to customer needs and driving continuous innovation.",jobsdb,mainstream,1,2026-07-06T18:55:44.247098+00:00,https://hk.indeed.com/viewjob?jk=c528ad5cd6cab93e,1
